DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,LOG_ID_FROM_FILENAME,CGR,interpretation_status,vsh_Linear,vsh_Larionov_Optimized,vsh_Clavier,vsh_Neutron_Density,vsh_final,sh_frac,abs_diff,lithology_kb,porosity_model_kb,phie_final,TH,K,U,rock_type,k_final,permeability_model_used,sw_final,sxo_final,so_final,so_movable,vsan_auto,vlim_auto,vdol_auto,carb_auto,RESULT_AUTO
1863.9,57.873,1.978,77.179,21.276,253.883,2.329,18.6,60.169,104.082,,0.227,103.967,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2279776214643991,,0.1129090971020985,0.0571428571428559,0.0571428571428559,,,Shale,Sonic,0.0752810565612203,,,,RT4_Tight_Sand,0.001,Param_Error_MultiLinear_V2,0.9730784078156224,1.0,0.0269215921843777,0.0019108752808673,0.8675760862959238,0.0,0.0,0.0,待会诊
1864.0,56.461,1.986,77.213,21.275,253.925,2.323,18.605,61.175,105.952,,0.236,102.222,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2175006677944973,,0.1068294113320282,0.0791988130563797,0.0791988130563797,,,Shale,Sonic,0.0861729080798231,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.3179107328063079,0.4313449671726966,0.6820892671936921,0.0090007927916719,0.8346282788637972,0.0,0.0,0.0,水层
1864.1,53.733,2.002,77.244,21.239,252.798,2.326,18.157,60.45,105.071,,0.26,101.617,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1972590745852254,,0.0953423564278688,0.0977357357357351,0.0977357357357351,,,Shale,Sonic,0.0921213196563408,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.2965578002893877,0.4031723816124265,0.7034421997106123,0.0088615667504397,0.810142944607924,0.0,0.0,0.0,水层
1864.2,49.174,2.028,77.258,21.177,250.785,2.334,17.326,57.807,101.247,,0.297,101.255,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1634315733238358,,0.07689004741283,0.1245956566701131,0.1245956566701131,,,Shale,Sonic,0.0993122967506622,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.2784737895709875,0.3801959703165614,0.7215262104290125,0.0088435652581104,0.7760920465792247,0.0,0.0,0.0,水层
1864.3,44.157,2.055,77.245,21.125,249.079,2.346,16.259,56.67,100.566,,0.312,78.523,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1262057400647018,,0.0576285209843241,0.155501632208922,0.155501632208922,,,Shale,Sonic,0.1081771713308795,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8030937740238144,0.0,0.0,0.7363211964601986,0.0,0.0,0.0,水层
1864.4,39.524,2.076,77.221,21.11,248.274,2.358,15.481,58.439,105.664,,0.316,73.264,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0918291633276942,,0.040781335657122,0.1679150401836962,0.1679150401836962,,,Shale,Sonic,0.1112227581109271,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8209728576345147,0.0,0.0,0.7185778583373253,0.0022843433680515,0.0,0.0022843433680515,水层
1864.5,36.179,2.086,77.192,21.121,248.435,2.358,15.201,60.346,111.538,,0.309,78.818,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.067009467841985,,0.0291629414449909,0.1891320321469568,0.1891320321469568,,,Shale,Sonic,0.1193603766178129,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.84476191335535,0.0,0.0,0.4372078459131089,0.2542997453221212,0.0,0.2542997453221212,水层
1864.6,34.687,2.079,77.164,21.151,249.41,2.348,15.42,60.166,113.848,,0.289,88.002,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0559389190633069,,0.0241251983977444,0.2088693743139409,0.2088693743139409,,,Shale,Sonic,0.1281187039454706,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8519509478480822,0.0,0.0,0.1989063212002665,0.4641056005403219,0.0,0.4641056005403219,水层
1864.7,35.302,2.045,77.142,21.187,250.833,2.332,16.045,56.212,108.895,,0.258,93.173,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0605021814620247,,0.026191040772125,0.2184923076923079,0.2184923076923079,,,Shale,Sonic,0.1341105286905832,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8233981408587803,0.0,0.0,0.1021565742809146,0.5452405893361942,0.0,0.5452405893361942,水层
1864.8,36.026,2.006,77.142,21.247,251.626,2.314,16.882,52.034,102.401,,0.219,102.049,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0658742171964503,,0.028642263477467,0.2194727793696269,0.2194727793696269,,,Shale,Sonic,0.136030579554658,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.7884883673391762,0.0,0.0,0.1198948062014649,0.52460183487425,0.0,0.52460183487425,水层
