DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,WELL_NAME,cluster_label
2092.6,51.426,2.534,45.533,21.082,220.709,2.567,12.667,34.499,34.051,0.068,0.315,110.814,21.59,,6.403,0.0,7.697,0.224,98.568,93.167,6.833,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2092.7,52.848,2.562,46.621,21.118,219.076,2.577,12.303,43.645,45.689,0.069,0.324,127.584,21.59,,6.856,0.0,7.304,0.178,96.749,84.904,15.096,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2092.8,54.98,2.594,47.888,21.152,217.626,2.585,12.159,44.405,50.421,0.071,0.332,145.662,21.59,,7.976,0.0,4.31,0.098,97.415,88.27,11.694,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,1.0
2092.9,57.435,2.629,49.231,21.173,216.327,2.59,12.116,40.519,49.155,0.073,0.325,145.152,21.59,,9.426,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,1.0
2093.0,60.348,2.67,50.587,21.194,215.17,2.583,12.072,35.639,45.837,0.074,0.313,131.178,21.59,,11.135,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,1.0
2093.1,63.937,2.715,51.894,21.24,214.49,2.556,12.167,32.115,43.31,0.087,0.31,112.191,21.59,,13.446,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,1.0
2093.2,68.493,2.747,53.085,21.354,214.975,2.504,12.677,31.024,43.31,0.1,0.334,99.908,21.59,,16.629,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,1.0
2093.3,74.948,2.757,54.151,21.686,219.126,2.428,14.017,30.477,43.551,0.112,0.409,96.784,21.59,,21.103,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,1.0
2093.4,82.805,2.755,55.221,22.323,227.115,2.331,18.331,28.071,40.706,0.125,0.466,96.02,21.59,,27.242,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
2093.5,91.377,2.753,56.371,23.336,238.404,2.235,24.864,24.155,35.313,0.138,0.477,98.576,21.59,,35.372,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2093.6,98.516,2.772,57.664,24.587,251.388,2.167,32.32,19.829,29.08,0.15,0.443,105.098,21.59,,45.564,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2093.7,100.584,2.854,59.147,25.726,263.374,2.133,38.961,16.942,24.889,0.163,0.393,115.929,21.59,,50.097,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2093.8,94.933,2.96,60.711,25.444,267.934,2.134,42.614,16.718,24.631,0.176,0.405,107.769,21.59,,47.924,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2093.9,87.828,3.06,62.176,24.137,265.586,2.163,38.87,18.359,27.215,0.188,0.446,93.172,21.59,,40.615,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2094.0,83.689,3.121,63.463,22.794,258.169,2.199,32.426,20.785,31.071,0.201,0.515,85.707,21.59,,32.358,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2094.1,84.259,3.115,64.535,22.095,248.557,2.222,25.444,22.743,34.31,0.183,0.611,93.249,21.59,,31.647,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
2094.2,88.656,3.013,65.384,22.422,240.644,2.236,19.716,22.807,34.716,0.164,0.73,118.097,21.59,,34.904,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
2094.3,96.058,2.911,66.124,23.437,239.168,2.245,16.648,20.148,30.712,0.146,0.82,157.01,21.59,,41.518,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
2094.4,103.601,2.843,66.848,24.22,241.32,2.258,18.212,18.181,27.62,0.128,0.832,141.785,21.59,,50.558,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2094.5,107.195,2.824,67.561,24.297,244.67,2.295,21.101,17.682,26.655,0.109,0.77,101.658,21.59,,60.781,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2094.6,107.537,2.855,68.257,23.545,246.755,2.344,23.866,19.105,28.5,0.091,0.654,65.007,21.59,,60.233,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2094.7,110.039,2.888,68.92,22.187,245.08,2.397,25.414,22.598,33.329,0.073,0.526,59.32,21.59,,62.863,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2094.8,110.066,2.875,69.529,21.721,239.612,2.445,25.011,24.668,36.057,0.054,0.5,93.38,21.59,,64.729,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2094.9,112.57,2.811,70.106,21.804,233.918,2.475,23.116,23.279,33.939,0.036,0.547,128.33,21.59,,66.057,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2095.0,114.717,2.704,70.65,22.243,229.498,2.46,22.01,20.46,29.882,0.018,0.632,154.801,21.59,,71.248,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2095.1,115.423,2.572,71.157,22.856,227.348,2.414,22.003,17.872,26.238,0.019,0.709,168.023,21.59,,72.826,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2095.2,115.336,2.441,71.617,23.473,227.988,2.342,23.066,16.814,24.808,0.02,0.721,167.609,21.59,,73.114,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2095.3,114.54,2.283,72.006,24.004,230.454,2.253,24.843,17.515,25.883,0.021,0.624,137.39,21.59,,72.396,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2095.4,114.072,2.077,72.341,24.776,233.567,2.158,26.895,18.264,26.897,0.022,0.528,100.388,21.59,,71.28,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,0.0
2095.5,114.9,1.815,72.623,25.985,237.296,2.081,29.368,17.923,26.213,0.023,0.437,71.759,21.59,,70.703,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2095.6,116.926,1.497,72.858,27.704,241.666,2.023,32.753,16.134,23.378,0.024,0.357,59.39,21.59,,73.994,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2095.7,118.987,1.173,73.051,29.883,246.744,1.983,37.362,13.317,19.101,0.025,0.304,64.129,21.59,,77.444,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2095.8,121.379,0.91,73.225,31.915,251.551,1.957,43.333,11.341,16.159,0.026,0.297,85.348,21.59,,81.318,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2095.9,121.875,0.73,73.391,33.206,255.11,1.94,48.936,10.167,14.408,0.027,0.301,88.119,21.59,,84.44,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.0,120.42,0.648,73.546,33.54,257.165,1.925,51.821,9.609,13.574,0.028,0.292,88.487,21.59,,84.191,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.1,117.415,0.67,73.68,32.844,257.928,1.91,51.714,9.415,13.303,0.028,0.261,92.792,21.59,,79.306,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.2,113.71,0.795,73.784,31.184,258.052,1.898,49.145,9.274,13.175,0.027,0.214,97.678,21.59,,73.481,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.3,112.111,0.928,73.854,31.19,259.712,1.891,45.443,8.817,12.699,0.026,0.195,94.859,21.59,,69.153,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
2096.4,110.57,1.036,73.903,32.224,262.972,1.893,43.997,8.347,12.248,0.026,0.195,92.803,21.59,,66.684,0.0,0.1,0.01,99.9,99.9,0.01,chang4+5,未解释,0473ffd021f94d17a9091d6a3b5ac567,3.0
