DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,LOG_ID_FROM_FILENAME,CGR,interpretation_status,vsh_Linear,vsh_Larionov_Optimized,vsh_Clavier,vsh_Neutron_Density,vsh_final,sh_frac,abs_diff
1868.0,52.278,2.116,76.481,21.395,254.004,2.35,20.762,50.29,91.364,0.004,0.25,37.284,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.18564999999999998,0.09783929446841189,0.08890593772430533,0.15341621621621676,0.18564999999999998,,
1868.1,44.43,2.136,76.487,21.429,253.243,2.365,19.298,51.411,92.27,0.004,0.298,44.692,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.12025,0.060467344410308765,0.05464595375341785,0.1142461538461546,0.12025,,
1868.2,38.288,2.173,76.508,21.384,251.844,2.379,17.495,55.654,98.05,0.004,0.34,56.818,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.06906666666666664,0.033493436881026385,0.030108847193260235,0.057642740619902516,0.06906666666666664,,
1868.3,37.287,2.205,76.56,21.274,250.754,2.386,15.924,59.237,101.938,0.004,0.343,68.475,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.060724999999999994,0.02927588301420192,0.026292297211069293,0.0,0.060724999999999994,,
1868.4,37.438,2.223,76.63,21.216,250.05,2.382,15.343,60.071,101.146,0.004,0.316,76.133,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.061983333333333356,0.029908977961354832,0.026864799329647138,0.0,0.061983333333333356,,
1868.5,37.351,2.22,76.711,21.179,249.488,2.361,15.368,58.8,97.277,0.004,0.272,78.101,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.061258333333333324,0.029544079808258756,0.026534807672846883,0.0,0.061258333333333324,,
1868.6,36.803,2.194,76.799,21.152,248.728,2.337,15.811,56.82,92.894,0.004,0.223,73.021,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.05669166666666665,0.02725405214996046,0.02446494468267768,0.0,0.05669166666666665,,
1868.7,36.736,2.145,76.89,21.145,247.33,2.317,16.441,56.268,91.501,0.004,0.186,59.809,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.056133333333333306,0.02697506032434845,0.024212906654839328,0.0,0.056133333333333306,,
1868.8,36.448,2.097,76.978,21.176,245.034,2.305,16.986,58.624,95.627,0.004,0.188,42.04,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.053733333333333334,0.025778267969604068,0.02313206774587573,0.0,0.053733333333333334,,
1868.9,37.402,2.055,77.056,21.199,242.5,2.304,16.88,60.387,99.492,0.004,0.207,32.403,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.06168333333333334,0.029757941140395355,0.02672820506582907,0.0,0.06168333333333334,,
1869.0,39.914,2.024,77.115,21.212,240.187,2.318,16.404,60.753,101.461,0.004,0.233,32.325,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.08261666666666669,0.04044914125035944,0.036416171918121965,0.0,0.08261666666666669,,
1869.1,43.056,2.004,77.142,21.215,238.544,2.334,15.727,60.342,102.3,0.005,0.261,40.875,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.10879999999999998,0.0542658669662337,0.04898741373664861,0.0,0.10879999999999998,,
1869.2,44.669,2.0,77.124,21.217,238.025,2.349,14.995,61.184,105.136,0.005,0.288,54.85,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.12224166666666664,0.06155614478137417,0.055640355154255694,0.0,0.12224166666666664,,
1869.3,44.247,1.999,77.065,21.23,238.702,2.36,14.327,65.385,113.26,0.005,0.303,69.344,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.118725,0.05963569023972733,0.05388658520289069,0.0,0.118725,,
1869.4,45.503,1.996,76.999,21.217,239.76,2.364,13.922,67.821,117.653,0.005,0.299,79.984,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.12919166666666668,0.06537919199615676,0.059134015243610616,0.0,0.12919166666666668,,
